고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,표준지일련번호,기준연도,사업지구면적,지목코드,지목,실제지목코드,실제지목,토지면적,용도지역코드1,용도지역명1,용도지역코드2,용도지역명2,용도지구코드1,용도지구명1,용도지구코드2,용도지구명2,저촉율,토지이용상황코드,토지이용상황,지형높이코드,지형높이,지형형상코드,지형형상,도로측면코드,도로측면,도로거리코드,도로거리,공시지가,표준지소유구분코드,표준지소유구분명,소유형태코드,소유형태명,데이터기준일자,원천시도시군구코드
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,01월 02일,1,2024,0,8,,0,지정되지않음,277,22,,0,,0,,0,,16,320,,2,,4,,10,,0,,972100,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,1-39,2,2024,0,8,,0,지정되지않음,53,22,,0,,0,,0,,100,240,,2,,2,,6,,0,,1154000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,06월 08일,3,2024,0,8,,0,지정되지않음,122,22,,0,,0,,0,,58,210,,2,,4,,5,,0,,3186000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,14,4,2024,0,8,,0,지정되지않음,116.4,22,,0,,0,,0,,0,210,,2,,4,,7,,0,,1521000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,06월 17일,5,2024,0,8,,0,지정되지않음,282.6,22,,0,,0,,0,,0,210,,2,,2,,5,,0,,2303000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,09월 20일,6,2024,0,8,,0,지정되지않음,474.7,22,,0,,0,,0,,0,210,,2,,1,,4,,0,,2659000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,08월 30일,7,2024,0,8,,0,지정되지않음,68.1,22,,0,,0,,0,,100,210,,2,,3,,4,,0,,3017000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,31,8,2024,0,8,,0,지정되지않음,115.4,22,,0,,0,,0,,0,210,,2,,4,,2,,0,,4017000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,Jan-39,9,2024,0,8,,0,지정되지않음,123,22,,0,,0,,0,,0,210,,2,,3,,6,,0,,1751000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,Feb-41,10,2024,0,8,,0,지정되지않음,109,22,,0,,0,,0,,0,310,,2,,3,,8,,0,,980500,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,Mar-42,11,2024,0,8,,0,지정되지않음,66,22,,0,,0,,0,,0,110,,2,,5,,10,,0,,656700,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,Aug-43,12,2024,0,8,,0,지정되지않음,380,22,,0,,0,,0,,0,210,,2,,3,,4,,0,,2306000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,Jan-47,13,2024,0,8,,0,지정되지않음,261,22,,0,,0,,0,,0,210,,2,,4,,5,,0,,2108000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,62-20,14,2024,0,8,,0,지정되지않음,37,22,,0,,0,,0,,0,330,,2,,4,,10,,0,,733200,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,62-25,15,2024,0,8,,0,지정되지않음,87.6,22,,0,,0,,0,,0,210,,2,,5,,6,,0,,1398000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,63-24,16,2024,0,8,,0,지정되지않음,29.1,22,,0,,0,,0,,0,110,,2,,4,,10,,0,,663500,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,Aug-70,17,2024,0,8,,0,지정되지않음,90.6,22,,0,,0,,0,,0,210,,2,,5,,7,,0,,1363000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,71,18,2024,0,8,,0,지정되지않음,347,22,,0,,0,,0,,0,210,,2,,4,,3,,0,,3514000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,Feb-79,19,2024,0,8,,0,지정되지않음,101.2,22,,0,,0,,0,,0,210,,2,,2,,7,,0,,2077000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,Sep-91,20,2024,0,8,,0,지정되지않음,193,22,,0,,0,,0,,0,210,,2,,4,,8,,0,,1170000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,Jan-96,21,2024,0,8,,0,지정되지않음,64.5,22,,0,,0,,0,,0,210,,2,,4,,2,,0,,4017000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,Oct-99,22,2024,0,8,,0,지정되지않음,248.3,22,,0,,0,,0,,0,210,,2,,4,,4,,0,,2896000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,101-1,23,2024,0,8,,0,지정되지않음,109,22,,0,,0,,0,,10,210,,2,,4,,7,,0,,2361000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,105-24,24,2024,0,8,,0,지정되지않음,83,22,,0,,0,,0,,0,110,,2,,1,,10,,0,,752500,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,118-2,25,2024,0,8,,0,지정되지않음,212,22,,0,,0,,0,,0,210,,2,,5,,4,,0,,2399000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,119-5,26,2024,0,8,,0,지정되지않음,406,22,,0,,0,,0,,0,210,,2,,3,,6,,0,,2245000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,134,27,2024,0,8,,0,지정되지않음,582,22,,0,,0,,0,,0,210,,2,,4,,4,,0,,2345000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,155-6,28,2024,0,8,,0,지정되지않음,171,22,,0,,0,,0,,0,210,,2,,4,,4,,0,,1423000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,160-3,29,2024,0,8,,0,지정되지않음,112,22,,0,,0,,0,,0,210,,2,,3,,4,,0,,1705000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,163-1,30,2024,0,8,,0,지정되지않음,26,22,,0,,0,,0,,0,210,,2,,4,,5,,0,,2269000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,165-2,31,2024,0,8,,0,지정되지않음,397,22,,0,,0,,0,,97,210,,2,,2,,7,,0,,2615000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,171-4,32,2024,0,8,,0,지정되지않음,130,22,,0,,0,,0,,0,210,,2,,4,,9,,0,,1386000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,173-2,33,2024,0,8,,0,지정되지않음,165,22,,0,,0,,0,,0,210,,2,,3,,8,,0,,872300,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,192-2,34,2024,0,8,,0,지정되지않음,165,22,,0,,0,,0,,0,210,,2,,4,,4,,0,,1095000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,204-2,35,2024,0,8,,0,지정되지않음,129,22,,0,,0,,0,,40,210,,2,,4,,4,,0,,1226000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,206-5,36,2024,0,8,,0,지정되지않음,139,22,,0,,0,,0,,10,210,,2,,4,,5,,0,,1519000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,227-2,37,2024,0,8,,0,지정되지않음,317,22,,0,,0,,0,,0,210,,2,,4,,9,,0,,1368000,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,228-5,38,2024,0,8,,0,지정되지않음,80,22,,0,,0,,0,,0,310,,2,,4,,8,,0,,798500,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,235-2,39,2024,0,8,,0,지정되지않음,126,22,,0,,0,,0,,90,210,,2,,4,,7,,0,,966500,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,238-1,40,2024,0,8,,0,지정되지않음,248,22,,0,,0,,0,,0,110,,2,,3,,10,,0,,546500,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,240-2,41,2024,0,8,,0,지정되지않음,106,22,,0,,0,,0,,0,210,,2,,4,,8,,0,,883700,,,0,,2024-07-26,44130
4.41311E+18,4413110100,충청남도 천안시 동남구 대흥동,1,일반,245-3,42,2024,0,8,,0,지정되지않음,192,22,,0,,0,,0,,0,110,,2,,1,,8,,0,,634800,,,0,,2024-07-26,44130
